waterfront,renovated,view,condition,grade,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,age,sqft_living15,sqft_lot15,yr_built,price
0,0,0,4,3,3,0.75,2510,20000,2,2510,0,59,2130,20000,1961,363000
0,0,0,3,3,2,1,770,17334,1,770,0,42,1480,17334,1978,100000
0,yes,0,3,2,2,1,828,4524,1,828,0,52,828,5402,1968,110000
0,0,0,4,2,2,1,840,6480,1,840,0,66,1100,7300,1954,124500
0,0,0,4,2,3,1,860,33664,1,860,0,65,1290,18287,1955,199129
0,0,0,4,2,3,1,900,10511,1,900,0,59,1460,10643,1961,178500
0,0,0,3,2,2,1,900,13531,1,900,0,41,1767,8308,1979,174000
0,0,0,3,3,3,1,910,7686,1,910,0,51,1020,7686,1969,169000
0,0,0,3,2,2,1,910,22000,1,910,0,64,1326,9891,1956,100000
0,0,0,4,3,3,1,910,7194,1,910,0,49,1530,7200,1971,182500
0,0,0,4,3,3,1,920,14400,1,920,0,43,1170,9600,1977,212500
0,0,0,4,3,3,1,920,9812,1,920,0,58,1188,9812,1962,199500
0,0,0,4,2,3,1,940,10890,1,940,0,111,1370,10255,1909,185900
0,0,0,3,3,3,1,970,14850,1,970,0,52,1410,14850,1968,184000
0,0,0,3,3,3,1,980,9135,1,980,0,65,1780,9135,1955,185000
0,0,0,3,2,2,1,1000,16524,1,1000,0,107,1350,10208,1913,115000
0,0,0,4,3,3,1,1010,9576,1,1010,0,53,1540,9576,1967,201700
0,0,0,4,2,3,1,1010,7520,1,1010,0,45,1370,8469,1975,183500
0,0,0,4,3,2,1,1050,60113,1,1050,0,77,1380,27442,1943,415000
0,0,0,3,3,3,1,1070,22489,1,1070,0,53,1880,20250,1967,195000
0,0,0,3,3,3,1,1070,6164,1,1070,0,53,1320,7920,1967,175000
0,0,0,3,3,3,1,1080,10500,1,1080,0,53,1200,9607,1967,132500
0,0,0,3,2,3,1,1080,16000,1,1080,0,68,1610,10007,1952,225000
0,yes,0,3,2,2,1,1088,8453,1,1088,0,68,1088,8016,1952,238000
0,0,0,3,3,3,1,1100,17334,1,1100,0,42,1530,18694,1978,139000
